driverId,driverScore,driveDistanceMeters,driveTimeMilliseconds,count_obstructedCamera,count_mobileUsage,count_noSeatbelt,count_distractedDrivingAutomatic,count_followingDistance,count_drowsy,count_braking,count_defensiveDriving,count_harshTurn,count_crash,scoreImpact_obstructedCamera,scoreImpact_mobileUsage,scoreImpact_noSeatbelt,scoreImpact_distractedDrivingAutomatic,scoreImpact_followingDistance,scoreImpact_drowsy,scoreImpact_braking,scoreImpact_defensiveDriving,scoreImpact_harshTurn,scoreImpact_crash,durationMilliseconds_maxSpeed,scoreImpact_maxSpeed,MaxSpeed_coached,Drowsy_coached,MobileUsage_coached,NoSeatbelt_coached,Braking_coached,ObstructedCamera_coached,DefensiveDriving_coached,HarshTurn_coached,driverName,tagId,tagName,parentTagId,parentTagName,fecha_corte
53683183,80,1982787,198452338,0,4,12,0,0,0,0,0,0,0,0.0,-9.739890366438756,-9.739890366438757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32019,-0.08067176311120104,0,0,0,0,0,0,0,0,HERJOS23,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683361,88,1840011,178965881,0,2,8,0,0,0,0,0,0,0,0.0,-5.247829496671487,-6.9971059955619825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,JUARAU,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683374,28,134151,10809026,0,0,6,0,0,0,0,0,0,0,0.0,0.0,-71.97906836326229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,VERPAN,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53683429,95,2031860,181625210,0,0,6,0,0,0,0,0,0,0,0.0,0.0,-4.752327424133553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231185,-0.6364342262838953,0,0,0,0,0,0,0,0,SALMI,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53684727,100,168105,22053047,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,MAYJUA,4433387,Pilgrims Tepo,4363965,EC-02,2026-05-17T23:59:59.000000
53684757,56,1179330,111945472,0,9,5,0,0,0,0,0,0,0,0.0,-36.844893286866274,-6.823128386456718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,,,,,,2026-05-17T23:59:59.000000
53684764,85,1059801,96458025,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-15.185341398998492,0.0,0.0,0.0,33008,-0.1711003309470622,0,0,0,0,0,0,0,0,TELMAR,4433380,Liverpool Local,4363964,EC-01,2026-05-17T23:59:59.000000
53685627,100,105674,39452704,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,RAMERI,4984761,Mabe,5021095,EC-10,2026-05-17T23:59:59.000000
53685694,100,62056,5655942,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,ROBJOR,4363972,MeLi Asignado,4363967,EC-05,2026-05-17T23:59:59.000000
53685708,0,2007717,104119186,5,0,13,6,4,0,0,0,1,0,-200.3947767538951,0.0,-10.420528391202547,-2.0745456077614746,-1.3830304051743163,0.0,0.0,0.0,-4.0078955350779015,0.0,4397173,-21.116055402123486,2,0,0,0,0,3,0,1,OLVJUA,4433638,Circuitos,4363966,EC-03,2026-05-17T23:59:59.000000
